Id,Title,Overview,Genres,Director,Studio,Actors,Type
3,"Inception","om Cobb is a skilled thief, the absolute best in the dangerous art of extraction: stealing valuable secrets from deep within the subconscious during the dream state. Cobb’s rare ability has made him a coveted player in corporate espionage, but it has also made him an international fugitive.","Action, Sci-Fi, Thriller","Christopher Nolan","Warner Bros. Pictures","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe",movie
4,"Hacksaw Ridge","During World War II, Desmond Doss, a conscientious objector who refuses to bear arms, serves as a medic on the front lines. His courage and faith lead him to save 75 men at the Battle of Okinawa without firing a single shot.","Drama, War, History","Mel Gibson","Summit Entertainment","Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer, Hugo Weaving",movie
6,"Interstellar","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival as Earth faces environmental collapse. Their journey challenges the limits of science, time, and love.","Adventure, Sci-Fi, Drama","Christopher Nolan","Paramount Pictures, Warner Bros. Pictures, Legendary Pictures, Syncopy","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Matt Damon",movie
8,"The Passion of the Christ","The film depicts the final twelve hours in the life of Jesus of Nazareth, from his betrayal by Judas through his crucifixion and resurrection, highlighting his suffering and sacrifice for humanity.","Drama, History, Religion","Mel Gibson","Icon Productions","Jim Caviezel, Monica Bellucci, Maia Morgenstern, Francesco De Vito, Luca Lionello",movie
9,"Ghost Rider","When motorcycle stuntman Johnny Blaze sells his soul to save his father, he becomes the Ghost Rider, a fiery spirit of vengeance who must fight against the forces of evil and his own cursed destiny.","Action, Fantasy, Thriller","Mark Steven Johnson","Columbia Pictures","Nicolas Cage, Eva Mendes, Sam Elliott, Wes Bentley, Peter Fonda",movie
10,"Violet Evergarden: The Movie","Violet, once a child soldier turned Auto Memory Doll, continues her journey of understanding emotions and the meaning of love. When she receives a mysterious letter linked to her past, she sets off on a final, heart-wrenching journey that may bring closure to her story.","Fantasy, Animation, Drama, Romance","Taichi Ishidate","Kyoto Animation","Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Aya Endo, Haruka Tomatsu",movie
16,"Kingdom of Heaven","A blacksmith named Balian is thrust into a war-torn Jerusalem during the Crusades. As he seeks redemption and peace, he rises to become a knight and defender of the city against overwhelming odds.","Action, Adventure, Drama, History","Ridley Scott","Babelsberg Motion Pictures GmbH","Orlando Bloom, Eva Green, Liam Neeson, Jeremy Irons, Ghassan Massoud",movie
1,"Attack on Titan","A story about a desperate struggle for survival where humanity, confined behind massive walls for a century, fights gigantic, man-eating creatures called Titans after one breaches their defenses, destroying Eren Yeager's home and killing his mother.","Action, Fantasy, Drama, Mystery","Tetsurō Araki","Wit","Yui Ishikawa, Yuki Kaji, Marina Inoue, Hiroshi Kamiya, Daisuke Ono",tvseries
7,"Tower of God","Bam enters a mysterious tower filled with dangerous floors and trials, each holding secrets and immense power. He must climb to reunite with his friend and uncover the truth of the tower.","Action, Adventure, Fantasy","Takashi Sano","Telecom Animation Film","Chris Hackney, Johnny Yong Bosch, Jake Gyllenhaal",tvseries
8,"Solo Leveling","In a world where hunters fight deadly monsters from mysterious gates, Sung Jin-Woo, known as the weakest hunter, gains a unique ability that allows him to level up without limit after a near-death experience. He embarks on a journey to become the strongest hunter of all.","Action, Adventure, Fantasy","Shunsuke Nakashige","A-1 Pictures","Taito Ban, Reina Ueda, Hiroki Touchi, Genta Nakamura, Makoto Furukawa",tvseries
